count,id
96815,40981798
87551,43003845
86930,22462180
86510,34428380
69416,3359851
46567,15913
46477,18776017
42551,11348282
40236,27633075
39854,15853668
39642,7860742
39333,59804598
38992,31331740
38973,48485771
38950,208132323
37688,83943787
37654,5442012
36376,14654965
35904,18581803
35357,22784458
35188,18996905
33081,10671602
32881,116952434
32458,309366491
32394,116036694
32329,115485051
32210,7861312
31233,440963134
30583,88323281
30164,17868918
29980,117674417
28692,18927441
28318,16098603
28016,19040580
27700,195475105
26373,16475194
25996,22679419
25988,813286
25925,34068984
25884,204317520
25855,270449528
25727,15222083
25509,153226312
24724,221829166
24606,8088112
24572,151338729
24567,197504076
24158,133055665
23829,204140367
23734,196680777
23578,26929220
23352,280935165
23148,16464746
23077,17759701
22856,100318079
22837,28465635
22707,10350
22461,14269220
22224,238260874
22123,15234657
21958,274153775
21750,1183041
21426,94414805
21179,188108667
21131,314316607
21028,30313925
20649,158419434
20528,263838766
20393,276706356
20376,69592091
20269,65913144
20218,184097849
20193,149538028
20117,254839786
19995,22705686
19949,96848570
19844,19802879
19690,3829151
19658,22841103
19638,225784456
19399,18666844
19322,9451052
19274,24641194
19219,7702232
19065,14922225
19004,36198161
18969,31353077
18848,100581193
18834,317076339
18818,229039814
18787,121533789
18785,112939321
18732,972651
18711,24585498
18618,108811740
18547,18753000
18438,16580226
18331,7872262
18281,87764480
18157,6608332
