community_id,size
3840,3737
88109378,2479
163238842,2433
816653,1488
493102437,1449
5110861,1111
14179545,1079
183095785,1029
82433,979
7384432,944
7082092,884
117541123,860
56280411,772
16323833,718
35206553,695
10241,681
111164068,678
17897744,649
16734718,612
76091017,594
450885342,586
17943827,578
221185711,576
7861622,559
19538986,522
26568085,497
12860612,489
9103242,461
14120151,459
5516372,458
16356344,449
35715105,444
14251225,443
41970816,377
6519522,364
69677863,312
17104005,304
15329577,300
15717356,299
16186743,291
155403330,290
85928734,289
53221356,279
199545828,274
16187637,269
130012095,268
20543416,259
46170816,255
93329426,253
14145493,242
17508106,242
104989762,242
19793454,240
348278208,237
156652502,236
18917281,236
9215692,235
14129623,230
330683316,228
15861746,227
19458216,224
5401942,223
29993931,219
12251322,217
24400628,217
30257869,216
16352313,215
155989324,213
363426409,212
311704980,212
248506063,210
31455711,209
18859933,206
150774780,196
20447992,195
15169511,195
16313592,195
27618085,193
18479513,193
14372763,191
6347872,187
30293070,186
18105493,185
14813088,183
17912337,182
15962096,182
26051404,180
80400072,180
161554085,179
14363353,179
21474310,178
60727070,178
12730882,178
50259455,177
78311082,176
16616061,174
15805171,173
15420011,172
333966373,172
19148708,172
198662359,171
31153819,166
35432988,164
14677919,163
27884585,161
256345926,161
88130368,160
191140196,157
18496986,156
251983364,156
155688134,155
16739711,155
19287334,155
16033908,154
223928153,150
152490004,149
269485905,148
26374419,147
17873937,147
15612015,147
90982638,147
17882897,145
217160945,145
17813135,145
14224219,144
365692108,144
1563671,143
135605269,143
118509968,142
1468951,141
15568621,137
149994738,137
52084634,137
34041607,136
15402475,134
14365883,134
14528221,133
17137927,133
214618570,133
145732782,132
16929282,132
52827556,130
51237260,129
14955620,128
20446839,127
340601420,127
18483115,127
19997104,127
119417822,126
651273,126
47499606,125
123060433,122
16143542,122
9893782,121
23978861,120
22851036,118
58903937,118
23990894,117
112111406,117
24055407,117
67727882,116
124077669,116
149276260,116
52498113,116
170451817,114
86889135,114
38108292,113
49064943,113
16672510,112
14217624,111
14306843,111
28452658,110
271551404,110
192317047,109
20262965,109
17232000,107
15456235,106
897,106
24297586,106
16250230,105
14755105,105
1925661,105
85253908,105
786764,105
68526677,104
182083035,103
36184872,103
57001957,102
57122023,102
24907197,100
208493293,100
67444229,100
16343608,100
8864902,99
12857542,99
14572574,98
60961634,97
22679419,97
27972426,97
35261530,96
2367911,96
16667262,96
68571415,96
25577351,95
14218296,95
16331259,95
38423691,93
14687073,92
67157376,92
243370113,92
14893314,92
306420546,92
35961508,92
15018214,92
14051156,90
39373784,90
225079658,90
16127669,89
16274553,89
17594572,88
36659758,88
412582295,88
14478814,88
28479154,88
117828741,88
239834955,88
181617875,87
286328448,87
17217414,87
64285972,86
49465463,86
33854532,85
8405632,84
90984237,84
16132791,84
17996177,83
39781660,83
127935456,83
29216764,82
22903583,81
4171231,81
17392585,81
113688646,81
18223191,81
26604704,81
48436259,80
14669534,79
23849131,78
930061,78
149103331,78
3025261,78
15957907,77
280329780,77
19225156,77
5768632,75
17627996,75
266135518,75
10922662,74
39819487,74
24838521,74
23478246,74
30574546,74
133704697,74
22832029,73
11977972,73
24036264,73
166601166,72
18744957,72
114864985,72
321152228,71
18890465,71
175529494,71
177470611,71
92769735,71
14555534,70
15058148,70
124333225,70
68845466,69
384685037,69
112911033,69
398549793,69
12069912,68
21742987,68
114359122,68
317658862,68
17402697,67
34542541,66
17977714,66
14794851,66
236827933,66
28597237,66
15654830,65
17403755,65
339155639,65
20583098,65
77002320,65
18640668,65
39383128,65
15839249,64
27246430,64
15239720,63
102364313,63
140528224,63
18690700,63
56573534,63
169162896,63
59199168,62
26910683,62
252559948,62
789071,62
720843,62
19156228,62
773003,61
19725644,61
80656590,61
5690262,61
52772629,60
41911743,60
10924902,60
21446951,58
175181938,58
16726878,58
14615871,58
85658777,57
172221767,57
26642006,57
19022242,57
278708637,57
77581855,56
138461569,56
22086481,56
14209885,56
22101457,56
20174643,55
36913587,55
5761942,55
308998490,54
46650115,54
210887504,54
17206278,54
10886182,54
16570302,54
69867435,53
17823630,53
211105430,53
24443764,53
414569910,53
165080948,53
48672487,52
24586611,52
15661871,52
11893812,51
7805942,51
697163,51
18447641,51
38500106,51
15918130,51
23711785,51
15851057,51
79879425,51
15280200,51
175080430,50
123071061,50
31530624,50
24019308,50
41259253,50
240027660,50
30874775,50
30096240,49
6368672,49
160989528,49
14415835,49
14417563,48
14283545,48
263420771,48
54782786,48
822284,47
18666844,47
25567622,47
18031634,47
14471133,46
14826211,46
287519521,46
41335446,46
124494824,46
16526462,46
372765570,45
13274152,45
62581962,45
87612216,45
15043044,45
21883149,45
15324553,44
9353422,44
53184267,44
12733122,44
90227296,43
885321,43
18244244,43
418529394,43
14470236,43
16030324,43
4387041,43
3604981,43
16421962,42
14915043,42
25583846,42
17213703,42
15947217,41
194354261,41
123698044,41
44193344,40
1472021,40
126013958,40
17598413,40
266143773,40
24636631,40
18070930,40
425207385,39
56217756,39
40100707,39
197899215,39
59588845,39
6650612,39
22745706,39
2576401,39
25547397,39
15130854,39
127696028,39
21832269,38
1699881,38
42661068,38
19894159,38
203506081,37
162269614,37
202353807,36
14045302,35
254400424,35
18143445,35
75321229,35
18762783,34
32445359,34
33500958,34
23563495,34
18322935,34
30222733,34
23894637,34
150197363,34
1047311,34
246493616,34
61343464,34
134979402,33
84142850,33
97244635,33
16883744,33
16476088,33
66428918,33
68480165,32
14129601,32
50322783,32
39382776,32
15133767,32
69671781,32
6289372,32
6463842,32
288075691,31
27853708,31
90956395,31
6463042,31
32358893,31
14957252,31
14174776,31
17194438,31
60448763,31
316828902,31
477094958,31
19965811,30
194008976,30
15777776,30
116808228,30
368023694,30
61158706,30
26599573,30
67732104,30
187271691,29
19315174,29
59676554,29
124563980,29
356897757,29
179204910,29
12570812,29
6082492,29
171536167,29
32140588,28
749963,28
20263382,28
58265881,28
26961048,28
43297044,28
61288679,28
206101355,27
74601011,27
200215023,27
74671123,27
14827526,27
19898730,27
759679,27
69086398,27
52883238,27
25626212,27
21957583,27
69099998,27
401731825,27
18400024,27
21028481,26
20979011,26
22539158,26
117759812,26
31013848,25
451905071,25
15642031,25
211899041,25
191322855,24
70723,24
95883863,24
15211081,24
253784672,24
75076600,24
22830044,24
184934309,24
8630562,24
150402542,24
24923100,23
283133921,23
48488675,23
16463547,23
19608297,23
77900389,23
378494343,22
24608151,22
21065280,22
24606439,22
8963722,22
17744075,22
111652884,22
126736457,22
377186587,22
17133445,22
291670881,21
18472735,21
87404916,21
21206147,21
1002351,21
20904318,21
81466922,21
14711172,21
170032387,21
6698022,21
40037795,21
906191,21
15797184,21
18433784,20
98047128,20
96477040,20
783374,20
17866209,20
51368847,20
531847058,20
36174500,20
