degree,count
2,4996
4,4857
6,4191
8,3671
10,3313
12,2980
14,2756
16,2422
18,2245
20,2075
22,1952
24,1868
26,1676
28,1650
30,1480
32,1402
34,1308
36,1231
38,1219
40,1179
42,1068
44,1012
46,940
48,930
50,875
52,843
54,793
56,775
58,745
60,725
62,663
64,618
66,610
68,607
70,618
72,543
74,504
76,554
78,481
80,478
82,489
84,446
86,418
88,426
90,456
92,410
94,385
96,397
98,387
100,321
102,339
104,342
106,327
108,323
110,287
112,285
114,270
116,299
118,291
120,249
122,235
124,240
126,245
128,227
130,220
132,218
134,210
136,198
138,193
140,198
142,191
144,195
146,178
148,178
150,163
152,182
154,148
156,134
158,146
160,139
162,134
164,118
166,128
168,122
170,105
172,137
174,135
176,124
178,91
180,119
182,108
184,114
186,99
188,96
190,95
192,95
194,100
196,92
198,90
200,87
202,82
204,80
206,83
208,78
210,80
212,78
214,82
216,61
218,63
220,71
222,70
224,56
226,77
228,75
230,57
232,66
234,59
236,44
238,52
240,61
242,51
244,49
246,57
248,58
250,48
252,43
254,29
256,36
258,30
260,43
262,40
264,42
266,38
268,33
270,35
272,36
274,45
276,40
278,36
280,38
282,35
284,38
286,42
288,31
290,37
292,30
294,35
296,38
298,21
300,30
302,37
304,36
306,32
308,34
310,29
312,26
314,30
316,32
318,27
320,28
322,32
324,32
326,26
328,34
330,20
332,30
334,18
336,30
338,28
340,22
342,25
344,22
346,23
348,13
350,21
352,15
354,20
356,18
358,17
360,13
362,31
364,25
366,15
368,22
370,18
372,20
374,14
376,17
378,21
380,16
382,25
384,14
386,18
388,16
390,18
392,9
394,29
396,21
398,16
400,13
402,16
404,20
406,21
408,17
410,24
412,14
414,14
416,19
418,10
420,18
422,16
424,11
426,11
428,12
430,14
432,13
434,10
436,11
438,12
440,11
442,12
444,12
446,14
448,14
450,12
452,17
454,11
456,14
458,15
460,15
462,9
464,11
466,10
468,13
470,10
472,13
474,14
476,15
478,14
480,14
482,11
484,11
486,13
488,10
490,3
492,11
494,15
496,5
498,10
500,18
502,11
504,7
506,8
508,6
510,7
512,8
514,7
516,8
518,19
520,9
522,13
524,8
526,6
528,7
530,8
532,4
534,7
536,7
538,6
540,5
542,6
544,9
546,7
548,6
550,10
552,6
554,8
556,6
558,8
560,6
562,5
564,7
566,6
568,4
570,7
572,4
574,8
576,7
578,6
580,5
582,4
584,7
586,6
588,4
590,4
592,7
594,3
596,3
598,3
600,5
602,3
604,4
606,6
608,7
610,5
612,2
614,6
616,9
618,2
620,4
622,4
624,5
626,1
628,4
632,9
634,3
636,3
638,3
640,6
642,2
644,3
646,5
648,7
650,4
652,1
654,4
656,5
658,4
660,3
662,6
664,3
666,3
668,3
670,1
672,1
674,3
678,2
680,5
682,1
684,2
686,4
688,2
690,2
692,4
694,3
696,2
700,5
702,2
704,3
706,2
708,5
710,2
712,4
714,1
716,1
718,2
720,2
724,2
726,1
728,2
730,5
732,1
734,1
736,2
738,1
740,1
742,2
744,1
746,4
748,3
750,1
752,4
754,1
756,2
758,1
760,1
762,1
764,3
768,1
770,2
772,4
774,3
776,1
778,1
780,2
782,4
784,3
786,3
788,2
794,2
796,6
798,2
800,1
804,3
806,2
808,3
810,2
812,1
814,3
816,3
818,1
820,2
822,4
824,3
826,2
832,2
834,2
836,2
838,3
840,2
844,1
846,1
848,2
850,1
852,1
854,3
860,1
862,2
864,1
866,1
868,2
870,3
872,2
874,2
878,1
880,2
882,2
884,1
886,1
888,1
890,2
894,1
896,2
898,2
900,2
904,1
906,1
912,2
920,2
928,1
930,1
932,1
934,1
940,1
944,1
946,2
950,2
952,4
954,2
960,1
964,1
966,2
968,1
970,1
972,1
974,1
976,2
978,1
980,2
984,1
986,1
998,2
1000,1
1002,1
1006,2
1008,1
1010,1
1014,1
1020,1
1022,1
1024,1
1036,3
1038,1
1042,2
1046,1
1048,1
1050,2
1052,1
1058,1
1060,1
1062,2
1066,2
1072,1
1080,1
1082,1
1088,1
1092,1
1096,1
1098,2
1104,1
1110,1
1122,1
1126,1
1130,3
1132,1
1136,2
1140,1
1142,1
1144,2
1146,1
1154,1
1156,1
1164,1
1166,1
1172,1
1174,1
1180,1
1182,1
1194,1
1200,2
1202,1
1214,1
1218,1
1220,3
1242,1
1250,1
1266,1
1272,1
1274,3
1278,1
1280,1
1290,1
1300,1
1330,1
1332,1
1338,1
1342,1
1346,1
1356,2
1390,1
1394,2
1400,1
1406,1
1424,1
1428,2
1438,2
1440,1
1446,1
1458,1
1466,1
1474,1
1488,2
1496,1
1512,2
1516,1
1530,1
1532,1
1554,1
1558,1
1560,2
1566,1
1568,1
1576,1
1596,1
1602,1
1604,1
1608,1
1612,1
1620,1
1636,2
1644,1
1656,1
1674,1
1688,1
1698,1
1714,1
1722,1
1756,1
1758,1
1778,2
1804,1
1824,1
1830,1
1832,1
1842,1
1846,1
1864,1
1874,1
1896,1
1918,1
1928,1
1950,1
1958,1
1982,1
1992,1
2018,1
2046,1
2060,1
2102,1
2106,1
2108,1
2144,1
2158,1
2160,1
2182,1
2206,1
2322,1
2360,1
2366,1
2370,1
2396,1
2440,1
2450,1
2452,1
2458,1
2502,1
2510,1
2512,1
2538,1
2550,1
2582,1
2716,1
2754,1
2774,1
2790,1
2886,1
2934,1
2994,1
3018,1
3042,1
3136,1
3332,1
3390,1
3486,1
3578,1
4266,1
4310,1
4952,1
4968,1
4980,1
5516,1
6022,1
6478,1
6766,1
